store_nbr,item_nbr,units,season
1,9,29,winter
1,28,2,winter
1,51,1,winter
2,5,191,winter
2,44,215,winter
3,5,214,winter
3,45,112,winter
4,9,61,winter
4,27,21,winter
5,16,24,winter
5,32,1,winter
5,37,16,winter
6,9,44,winter
6,45,86,winter
7,5,137,winter
7,7,2,winter
7,23,16,winter
8,5,38,winter
8,23,4,winter
9,5,131,winter
9,10,4,winter
9,45,72,winter
9,93,4,winter
10,5,98,winter
10,37,32,winter
10,93,3,winter
11,9,74,winter
11,68,48,winter
12,16,29,winter
12,37,28,winter
12,79,2,winter
12,93,1,winter
13,5,77,winter
13,36,121,winter
13,46,1,winter
14,9,8,winter
14,50,2,winter
14,70,2,winter
15,5,64,winter
15,17,2,winter
15,45,108,winter
15,49,2,winter
16,16,25,winter
16,25,187,winter
17,9,179,winter
17,37,85,winter
17,48,147,winter
18,5,18,winter
18,37,17,winter
19,16,21,winter
19,83,10,winter
20,5,165,winter
20,41,37,winter
20,74,5,winter
21,5,58,winter
21,44,129,winter
22,9,37,winter
22,68,47,winter
22,93,3,winter
23,5,58,winter
23,29,1,winter
23,45,35,winter
24,6,42,winter
24,43,72,winter
24,60,1,winter
25,9,126,winter
25,45,90,winter
25,81,11,winter
26,5,64,winter
26,45,68,winter
27,9,26,winter
27,68,42,winter
27,80,1,winter
28,5,65,winter
28,45,68,winter
29,8,14,winter
29,41,37,winter
29,45,98,winter
30,16,16,winter
30,44,120,winter
30,49,1,winter
30,51,6,winter
31,9,40,winter
31,45,83,winter
32,9,65,winter
32,45,46,winter
32,58,8,winter
33,9,169,winter
33,44,354,winter
33,85,1,winter
33,92,1,winter
34,9,36,winter
34,31,1,winter
34,45,163,winter
34,52,1,winter
36,9,41,winter
36,44,94,winter
37,5,77,winter
37,45,53,winter
38,9,195,winter
38,45,135,winter
39,9,2,winter
39,36,6,winter
40,5,76,winter
40,45,48,winter
40,51,1,winter
41,16,42,winter
41,68,95,winter
42,5,154,winter
42,45,98,winter
43,16,71,winter
43,37,16,winter
44,5,26,winter
44,68,37,winter
45,9,7,winter
1,9,60,winter
1,28,5,winter
1,51,1,winter
2,5,147,winter
2,11,2,winter
2,44,153,winter
3,5,223,winter
3,45,114,winter
4,9,49,winter
4,27,9,winter
5,16,36,winter
5,20,1,winter
5,37,29,winter
6,9,147,winter
6,14,1,winter
6,45,85,winter
7,5,166,winter
7,7,1,winter
7,23,22,winter
7,93,2,winter
8,5,73,winter
8,23,15,winter
8,59,1,winter
9,5,67,winter
9,10,2,winter
9,45,127,winter
10,5,84,winter
10,21,3,winter
10,37,33,winter
11,9,49,winter
11,68,71,winter
12,16,53,winter
12,37,41,winter
13,5,99,winter
13,36,120,winter
13,46,3,winter
14,9,50,winter
14,50,4,winter
15,5,265,winter
15,17,5,winter
15,45,160,winter
16,16,42,winter
16,25,102,winter
16,39,1,winter
16,50,4,winter
17,9,254,winter
17,37,68,winter
17,48,123,winter
17,71,4,winter
18,5,40,winter
18,37,16,winter
19,16,30,winter
19,39,1,winter
19,69,4,winter
19,83,11,winter
19,93,2,winter
20,5,143,winter
20,41,51,winter
20,74,4,winter
21,5,137,winter
21,44,60,winter
22,9,112,winter
22,68,57,winter
23,5,47,winter
23,29,2,winter
23,45,43,winter
24,6,148,winter
24,43,92,winter
24,60,3,winter
25,9,170,winter
25,12,1,winter
25,45,133,winter
25,81,13,winter
26,5,46,winter
26,45,56,winter
27,9,53,winter
27,21,2,winter
27,68,41,winter
28,5,69,winter
28,45,95,winter
29,8,24,winter
29,41,13,winter
29,45,110,winter
30,16,76,winter
30,44,277,winter
30,49,2,winter
30,51,2,winter
31,9,29,winter
31,45,70,winter
32,9,115,winter
32,45,72,winter
32,58,1,winter
32,93,2,winter
33,9,195,winter
33,44,50,winter
34,9,88,winter
34,45,134,winter
34,52,3,winter
36,9,34,winter
36,30,1,winter
36,44,115,winter
37,5,102,winter
37,45,84,winter
37,53,3,winter
38,9,145,winter
38,45,137,winter
39,9,13,winter
39,36,13,winter
40,5,183,winter
40,45,116,winter
41,16,57,winter
41,68,150,winter
42,5,61,winter
42,45,89,winter
42,82,2,winter
43,16,92,winter
43,37,41,winter
43,73,2,winter
44,5,95,winter
44,68,93,winter
45,9,51,winter
45,50,2,winter
1,9,15,winter
1,28,9,winter
2,5,104,winter
2,44,109,winter
3,5,61,winter
3,45,75,winter
4,9,29,winter
4,27,5,winter
4,90,1,winter
5,16,33,winter
5,20,3,winter
5,37,18,winter
6,9,59,winter
6,45,26,winter
7,5,164,winter
7,7,3,winter
7,23,23,winter
8,5,87,winter
8,23,5,winter
9,5,158,winter
9,10,2,winter
9,45,70,winter
10,5,162,winter
10,21,3,winter
10,37,26,winter
11,9,42,winter
11,68,52,winter
12,16,36,winter
12,37,25,winter
13,5,196,winter
13,36,87,winter
13,46,10,winter
14,9,15,winter
14,25,18,winter
14,50,1,winter
14,70,1,winter
14,93,3,winter
15,5,174,winter
15,17,1,winter
15,45,128,winter
15,49,1,winter
16,16,20,winter
16,25,155,winter
16,39,1,winter
16,50,1,winter
17,9,149,winter
17,37,97,winter
17,48,223,winter
17,71,1,winter
18,5,12,winter
18,37,8,winter
19,16,35,winter
19,83,8,winter
20,5,117,winter
20,41,30,winter
20,74,6,winter
21,5,50,winter
21,44,72,winter
22,9,69,winter
22,68,65,winter
23,5,46,winter
23,29,1,winter
23,45,39,winter
24,6,105,winter
24,43,92,winter
24,60,1,winter
25,9,95,winter
25,45,119,winter
25,81,14,winter
26,5,94,winter
26,45,71,winter
27,9,36,winter
27,21,1,winter
27,68,57,winter
27,80,5,winter
28,5,113,winter
28,45,29,winter
29,8,53,winter
29,41,16,winter
29,45,92,winter
30,16,63,winter
30,44,292,winter
31,9,42,winter
31,45,71,winter
32,9,69,winter
32,45,46,winter
32,58,3,winter
33,9,182,winter
33,44,178,winter
33,92,1,winter
34,9,36,winter
34,31,1,winter
34,45,104,winter
34,52,3,winter
36,9,49,winter
36,30,1,winter
36,44,127,winter
37,5,86,winter
37,45,68,winter
37,53,1,winter
38,9,118,winter
38,45,79,winter
38,52,6,winter
39,9,2,winter
39,36,13,winter
40,5,58,winter
40,45,67,winter
41,16,51,winter
41,68,122,winter
42,5,72,winter
42,45,81,winter
42,82,1,winter
43,16,89,winter
43,37,30,winter
44,5,40,winter
44,68,97,winter
45,9,18,winter
1,9,20,winter
1,28,3,winter
2,5,58,winter
2,11,2,winter
2,44,148,winter
3,5,106,winter
3,45,71,winter
4,9,80,winter
4,27,8,winter
4,90,1,winter
5,16,20,winter
5,32,2,winter
5,37,16,winter
6,9,54,winter
6,14,7,winter
6,45,51,winter
7,5,124,winter
7,23,19,winter
7,93,3,winter
8,5,45,winter
8,23,4,winter
8,59,1,winter
9,5,69,winter
9,45,70,winter
9,93,1,winter
10,5,57,winter
10,21,1,winter
10,37,25,winter
11,9,60,winter
11,68,49,winter
12,16,30,winter
12,37,32,winter
12,79,2,winter
13,5,114,winter
13,36,115,winter
13,46,1,winter
14,9,9,winter
14,25,17,winter
14,50,2,winter
15,5,212,winter
15,17,1,winter
15,45,100,winter
16,16,24,winter
16,25,174,winter
17,9,201,winter
17,37,51,winter
17,48,148,winter
18,5,22,winter
18,37,17,winter
19,16,27,winter
19,69,1,winter
19,83,4,winter
20,5,96,winter
20,18,1,winter
20,41,24,winter
20,74,3,winter
21,5,38,winter
21,44,46,winter
22,9,60,winter
22,68,59,winter
23,5,69,winter
23,45,17,winter
24,6,107,winter
24,43,70,winter
25,9,141,winter
25,12,1,winter
25,45,121,winter
25,81,15,winter
26,5,43,winter
26,45,45,winter
27,9,41,winter
27,68,33,winter
27,93,10,winter
28,5,64,winter
28,45,48,winter
29,8,31,winter
29,41,10,winter
29,45,87,winter
29,56,3,winter
30,16,41,winter
30,44,189,winter
30,51,1,winter
31,9,29,winter
31,45,64,winter
32,9,54,winter
32,19,1,winter
32,45,50,winter
32,58,2,winter
33,9,70,winter
33,44,185,winter
34,9,58,winter
34,45,104,winter
34,52,2,winter
36,9,8,winter
36,30,1,winter
36,44,83,winter
37,5,53,winter
37,45,50,winter
37,53,2,winter
38,9,56,winter
38,45,65,winter
38,52,1,winter
39,9,15,winter
39,36,11,winter
40,5,81,winter
40,45,54,winter
41,16,41,winter
41,68,55,winter
42,5,15,winter
42,45,69,winter
42,82,2,winter
43,16,72,winter
43,37,19,winter
44,5,53,winter
44,62,1,winter
44,68,64,winter
45,9,29,winter
1,9,16,winter
1,28,1,winter
2,5,138,winter
2,11,3,winter
2,44,157,winter
3,5,75,winter
3,45,111,winter
4,9,128,winter
4,27,6,winter
5,16,38,winter
5,37,17,winter
6,9,88,winter
6,14,2,winter
6,45,49,winter
7,5,130,winter
7,7,1,winter
7,23,17,winter
8,5,61,winter
8,23,10,winter
8,59,1,winter
9,5,133,winter
9,45,75,winter
10,5,58,winter
10,21,1,winter
10,37,26,winter
11,9,49,winter
11,61,1,winter
11,68,59,winter
12,16,32,winter
12,37,27,winter
12,79,2,winter
13,5,186,winter
13,36,106,winter
13,46,3,winter
14,9,40,winter
14,25,13,winter
14,50,2,winter
14,70,2,winter
15,5,112,winter
15,45,103,winter
15,61,2,winter
15,93,5,winter
16,16,32,winter
16,25,196,winter
16,50,1,winter
17,9,277,winter
17,37,69,winter
17,48,182,winter
18,5,47,winter
18,37,18,winter
19,16,48,winter
19,69,2,winter
19,83,9,winter
20,5,205,winter
20,18,1,winter
20,41,38,winter
20,74,5,winter
21,5,92,winter
21,44,84,winter
22,9,107,winter
22,68,48,winter
22,93,2,winter
23,5,57,winter
23,45,35,winter
24,6,129,winter
24,43,94,winter
24,60,2,winter
25,9,125,winter
25,45,80,winter
25,81,12,winter
26,5,56,winter
26,45,37,winter
27,9,35,winter
27,21,3,winter
27,68,40,winter
28,5,54,winter
28,45,68,winter
29,8,63,winter
29,41,23,winter
29,45,93,winter
30,16,52,winter
30,44,259,winter
30,49,1,winter
30,65,1,winter
31,9,110,winter
31,45,97,winter
32,9,96,winter
32,19,1,winter
32,45,32,winter
33,9,343,winter
33,44,357,winter
33,92,5,winter
34,9,95,winter
34,31,5,winter
34,45,165,winter
34,52,4,winter
36,9,41,winter
36,30,1,winter
36,44,131,winter
37,5,43,winter
37,45,62,winter
37,53,1,winter
38,9,132,winter
38,45,142,winter
38,52,1,winter
39,9,12,winter
39,36,20,winter
40,5,80,winter
40,45,54,winter
40,51,3,winter
40,55,1,winter
41,16,56,winter
41,61,1,winter
41,68,96,winter
42,5,112,winter
42,45,106,winter
42,82,2,winter
43,16,73,winter
43,37,26,winter
44,5,48,winter
44,62,3,winter
44,68,63,winter
45,9,45,winter
1,9,12,winter
1,28,2,winter
2,5,145,winter
2,11,2,winter
2,44,109,winter
3,5,81,winter
3,45,76,winter
4,9,124,winter
4,27,4,winter
4,90,1,winter
5,16,22,winter
5,32,1,winter
5,37,22,winter
6,9,40,winter
6,45,58,winter
7,5,105,winter
7,7,4,winter
7,23,11,winter
8,5,14,winter
8,23,4,winter
8,93,6,winter
9,5,94,winter
9,45,69,winter
10,5,48,winter
10,37,40,winter
11,9,17,winter
11,61,7,winter
11,68,53,winter
12,16,34,winter
12,37,25,winter
12,79,1,winter
12,93,1,winter
13,5,164,winter
13,36,102,winter
13,46,3,winter
14,9,5,winter
14,25,21,winter
14,50,1,winter
14,70,3,winter
15,5,100,winter
15,45,112,winter
15,61,3,winter
16,16,27,winter
16,25,168,winter
16,39,1,winter
16,50,1,winter
17,9,239,winter
17,37,63,winter
17,48,119,winter
17,71,1,winter
18,5,11,winter
18,37,4,winter
19,16,26,winter
19,69,1,winter
19,83,9,winter
19,93,5,winter
20,5,157,winter
20,18,1,winter
20,41,26,winter
20,74,2,winter
21,5,77,winter
21,44,65,winter
21,91,1,winter
22,9,136,winter
22,68,60,winter
23,5,63,winter
23,29,1,winter
23,45,44,winter
24,6,80,winter
24,43,103,winter
25,9,79,winter
25,45,89,winter
25,81,10,winter
26,5,70,winter
26,45,42,winter
27,9,84,winter
27,68,51,winter
27,80,1,winter
28,5,30,winter
28,45,53,winter
29,8,37,winter
29,41,9,winter
29,45,87,winter
29,56,1,winter
30,16,56,winter
30,44,239,winter
31,9,57,winter
31,45,74,winter
31,93,12,winter
32,9,55,winter
32,45,48,winter
33,9,115,winter
33,44,214,winter
33,92,1,winter
34,9,55,winter
34,45,122,winter
34,93,3,winter
36,9,41,winter
36,44,151,winter
37,5,38,winter
37,45,72,winter
37,53,2,winter
38,9,84,winter
38,45,108,winter
39,9,6,winter
39,36,15,winter
40,5,88,winter
40,45,68,winter
41,16,55,winter
41,61,7,winter
41,68,105,winter
42,5,63,winter
42,45,72,winter
42,82,1,winter
43,16,79,winter
43,37,32,winter
43,73,1,winter
44,5,95,winter
44,68,40,winter
45,9,32,winter
1,9,2,winter
1,28,1,winter
2,5,71,winter
2,44,169,winter
3,5,136,winter
3,45,124,winter
4,9,190,winter
4,27,6,winter
5,16,40,winter
5,20,1,winter
5,37,30,winter
6,9,110,winter
6,45,57,winter
7,5,190,winter
7,7,4,winter
7,23,26,winter
8,5,72,winter
8,23,14,winter
9,5,120,winter
9,10,4,winter
9,45,75,winter
10,5,120,winter
10,21,1,winter
10,37,46,winter
11,9,67,winter
11,61,4,winter
11,68,84,winter
12,16,54,winter
12,37,51,winter
12,93,7,winter
13,5,170,winter
13,36,95,winter
13,46,9,winter
13,93,1,winter
14,9,43,winter
14,25,9,winter
14,70,1,winter
15,5,220,winter
15,17,4,winter
15,45,171,winter
15,49,2,winter
15,61,2,winter
16,16,42,winter
16,25,250,winter
16,50,2,winter
17,9,154,winter
17,37,82,winter
17,48,249,winter
17,71,1,winter
18,5,23,winter
18,37,12,winter
19,16,31,winter
19,69,1,winter
19,83,18,winter
20,5,46,winter
20,18,4,winter
20,41,30,winter
20,74,4,winter
21,5,32,winter
21,44,82,winter
21,91,1,winter
22,9,89,winter
22,68,72,winter
23,5,26,winter
23,29,1,winter
23,45,34,winter
24,6,61,winter
24,43,130,winter
24,60,2,winter
25,9,168,winter
25,45,163,winter
25,50,1,winter
25,81,19,winter
26,5,36,winter
26,45,62,winter
27,9,51,winter
27,68,66,winter
28,5,27,winter
28,35,3,winter
28,45,61,winter
29,8,21,winter
29,41,24,winter
29,45,83,winter
29,56,5,winter
30,16,44,winter
30,44,234,winter
30,49,1,winter
30,65,1,winter
31,9,66,winter
31,45,60,winter
31,93,3,winter
32,9,81,winter
32,19,2,winter
32,45,63,winter
32,51,2,winter
32,58,2,winter
32,86,2,winter
32,93,8,winter
33,9,180,winter
33,44,230,winter
33,92,4,winter
34,9,95,winter
34,31,2,winter
34,45,133,winter
34,52,1,winter
36,9,98,winter
36,44,155,winter
37,5,112,winter
37,45,65,winter
37,53,2,winter
38,9,142,winter
38,45,132,winter
39,9,4,winter
39,36,11,winter
40,5,197,winter
40,45,113,winter
40,55,4,winter
41,16,84,winter
41,61,2,winter
41,68,164,winter
41,93,2,winter
42,5,68,winter
42,45,58,winter
43,16,110,winter
43,37,38,winter
44,5,31,winter
44,62,5,winter
44,68,55,winter
45,9,19,winter
1,9,22,winter
1,28,4,winter
1,51,1,winter
2,5,157,winter
2,11,4,winter
2,44,154,winter
2,85,2,winter
3,5,54,winter
3,45,113,winter
4,9,123,winter
4,27,20,winter
5,16,71,winter
5,32,1,winter
5,37,32,winter
6,9,66,winter
6,45,62,winter
7,5,213,winter
7,7,3,winter
7,23,32,winter
8,5,101,winter
8,23,17,winter
8,93,1,winter
9,5,86,winter
9,10,1,winter
9,45,8,winter
9,93,1,winter
10,5,75,winter
10,37,42,winter
11,9,56,winter
11,68,73,winter
12,16,61,winter
12,37,43,winter
13,5,282,winter
13,36,142,winter
13,93,7,winter
14,9,16,winter
14,50,1,winter
14,70,2,winter
15,5,232,winter
15,17,2,winter
15,45,175,winter
15,49,1,winter
15,61,3,winter
15,93,3,winter
16,16,47,winter
16,25,300,winter
17,9,156,winter
17,37,99,winter
17,48,172,winter
18,5,16,winter
18,37,28,winter
19,16,26,winter
19,69,1,winter
19,83,9,winter
20,5,132,winter
20,18,1,winter
20,41,34,winter
20,74,4,winter
21,5,140,winter
21,44,76,winter
22,9,100,winter
22,68,76,winter
23,5,36,winter
23,29,1,winter
23,45,51,winter
24,6,146,winter
24,43,120,winter
25,9,179,winter
25,12,1,winter
25,45,140,winter
25,81,22,winter
26,5,90,winter
26,45,67,winter
27,9,68,winter
27,68,91,winter
27,93,2,winter
28,5,78,winter
28,35,1,winter
28,45,76,winter
29,8,51,winter
29,41,34,winter
29,45,115,winter
29,56,5,winter
30,16,72,winter
30,44,317,winter
30,49,1,winter
30,65,1,winter
31,9,113,winter
31,45,110,winter
32,9,48,winter
32,19,1,winter
32,45,42,winter
32,51,1,winter
32,58,2,winter
33,9,273,winter
33,44,233,winter
34,9,90,winter
34,45,123,winter
34,52,2,winter
36,9,66,winter
36,30,2,winter
36,44,98,winter
37,5,71,winter
37,45,80,winter
38,9,205,winter
38,45,144,winter
39,36,14,winter
40,5,102,winter
40,45,93,winter
40,51,5,winter
40,55,2,winter
41,16,83,winter
41,61,1,winter
41,68,110,winter
41,86,1,winter
42,5,108,winter
